original,raza,clave
ancho,Ancho,15
apachito,Apachito,23
arrocillo amarillo,Arrocillo Amarillo,11
azul,Azul,33
blando,Blando,46
bofo,Bofo,26
bolita,Bolita,31
cacahuacintle,Cacahuacintle,36
celaya,Celaya,47
chalqueño,Chalqueño,03
chapalote,Chapalote,20
chiquito,Chiquito,05
comiteco,Comiteco,13
conejo,Conejo,25
conico,Cónico,34
conico norteño,Cónico Norteño,08
coscomatapec,Coscomatapec,16
cristalino de chihuahua,Cristalino De Chihuahua,19
dulce,Dulce,10
dulcillo de noroeste,Dulcillo De Noroeste,35
dzitbacal,Dzitbacal,28
elotera de sinaloa,Elotera De Sinaloa,24
elotes conicos,Elotes Cónicos,42
elotes occidentales,Elotes Occidentales,45
gordo,Gordo,43
jala,Jala,38
mushito,Mushito,22
mushito de michoacan,Mushito De Michoacán,21
naltel de altura,Naltel De Altura,14
olotillo,Olotillo,40
oloton,Olotón,48
onaveño,Onaveño,17
palomero toluqueño,Palomero Toluqueño,44
pepitilla,Pepitilla,39
raton,Ratón,37
reventador,Reventador,12
serrano mixe,Serrano Mixe,06
tablilla de ocho,Tablilla De Ocho,41
tabloncillo,Tabloncillo,29
tabloncillo perla,Tabloncillo Perla,09
tehua,Tehua,30
tepecintle,Tepecintle,01
tuxpeño,Tuxpeño,04
tuxpeño norteño,Tuxpeño Norteño,32
vandeño,Vandeño,18
zamorano amarillo,Zamorano Amarillo,02
zapalote chico,Zapalote Chico,27
zapalote grande,Zapalote Grande,07
